學年度,學期別,課號,永久課號,課程名稱,人數上限,上課時間,上課教室,學分,時數,開課教師,所屬系所名稱,選別,開課系所
101,1,5573,ITL5487,著作權法專題,9999,6FGH,MB,3,3,王敏銓,科技法律研究所,選修,管理學院碩士在職專班-科法組
101,1,5574,ITL5501,生醫法律專題研究,9999,1BCD,MB,3,3,陳鋕雄,科技法律研究所,選修,科技法律研究所
101,1,5575,ITL5502,企業法律專題研究,9999,3BCD,MB,3,3,林建中,科技法律研究所,選修,科技法律研究所
101,1,5576,ITL5503,醫療衛生法專題研究,9999,4FGH,MB,3,3,林欣柔,科技法律研究所,選修,科技法律研究所
101,1,5577,ITL5504,生命科技法律與倫理(英文授課),9999,3BCD,MB,3,3,林欣柔,科技法律研究所,選修,科技法律研究所
101,1,5578,ITL5548,法院實習(一),9999,2BCD,MB,3,3,陳鋕雄,科技法律研究所,選修,科技法律研究所
101,1,5579,ITL5549,法院實習(二),9999,2FGH,MB,3,3,陳鋕雄,科技法律研究所,選修,科技法律研究所
101,1,5580,ITL5551,專題討論(三),9999,6XE,A104,0,1,江浣翠,科技法律研究所,必修,科技法律研究所
101,1,5581,ITL5559,著作權及商標法研究專題,9999,1FGH,MB,3,3,王敏銓,科技法律研究所,選修,科技法律研究所
101,1,5582,ITL5560,智慧財產與競爭專題,9999,3BCD,ES806,3,3,王立達,科技法律研究所,選修,科技法律研究所
101,1,5584,ITL5619,國際模擬法庭(英文授課),9999,3FGH,MB,3,3,薛景文,科技法律研究所,選修,科技法律研究所
101,1,5585,IOF5001,金融機構與市場,35,4BCD,M102,3,3,謝文良,財務金融碩博士班,必修,財務金融碩博士班
101,1,5586,IOF5003,個體經濟學,35,2BCD,M102,3,3,承立平,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5587,IOF5014,期貨與選擇權,55,4EFG,M101,3,3,李漢星,財務金融碩博士班,必修,財務金融碩博士班
101,1,5588,IOF5018,財務管理,50,3GHY,M101,3,3,林建榮,財務金融碩博士班,必修,財務金融碩博士班
101,1,5589,IOF5023,財務報表分析,50,2EFG,M101,3,3,王淑芬,財務金融碩博士班,選修,財務金融碩博士班
101,1,5590,IOF5034,財務經濟學,35,3IJK,M301,3,3,王克陸,財務金融碩博士班,選修,財務金融碩博士班
101,1,5591,IOF5038,信用風險,35,1BCD,M102,3,3,郭家豪,財務金融碩博士班,選修,財務金融碩博士班
101,1,5592,IOF5045,財務數學,25,2BCD,M103,3,3,戴天時,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5593,IOF5063,實質選擇權與策略投資,40,2EFG,M102,3,3,黃星華,資訊管理與財務金融系,選修,財務金融碩博士班
101,1,5595,IOF5088,數理統計,9999,2CDX,M101,3,3,周幼珍,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5596,IOF5089,財金理論與實務(一),9999,3EF,M101,1,1,承立平,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5598,IOF5093,博士班論文研討(一),9999,3EF,M102,1,1,戴天時,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5599,IOF5095,財務理論(博),9999,5BCD,M102,3,3,俞明德,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5600,IOF5106,博士班論文研討,9999,3EF,M102,0,1,戴天時,資訊管理與財務金融系,必修,財務金融碩博士班
101,1,5601,IOF5110,定價模型實證分析,35,1HYI,M102,3,3,郭家豪,財務金融碩博士班,選修,財務金融碩博士班
101,1,5602,IOF5111,財務實證分析,35,3BCD,M102,3,3,鍾惠民,財務金融碩博士班,選修,財務金融碩博士班
101,1,5603,IOF5112,高科技產業管理,9999,5FGH,M101,3,3,俞明德,資訊管理與財務金融系,選修,財務金融碩博士班
101,1,5604,IBA1001,高階主管會計,9999,7BCD,,3,3,蕭子誼,高階主管管理碩士學程,必修,高階主管管理碩士學程
101,1,5605,IBA1011,高階主管經濟,9999,6BCD,,3,3,劉大年,管理科學系,必修,高階主管管理碩士學程
101,1,5606,IBA1024,營利模式專題,9999,6EFG7EFG,,3,3,劉助,高階主管管理碩士學程,選修,高階主管管理碩士學程
101,1,5608,IBA1036,組織管理與個案分析應用,9999,7HYI,,1,1,任維廉,運輸與物流管理學系,選修,高階主管管理碩士學程
101,1,5609,IBA1042,策略管理,9999,7BCD,,3,3,朱博湧,管理科學系,必修,高階主管管理碩士學程
101,1,5610,IBA1121,全球運籌管理,9999,6BCD,,3,3,韓復華,運輸與物流管理學系,必修,高階主管管理碩士學程
101,1,5611,IBA2002,高科技產業投資與創業分析,9999,6BCD,,3,3,黃河明,高階主管管理碩士學程,必修,高階主管管理碩士學程
101,1,5613,IMS2343,創業專題：設計策略與創意行銷,9999,3IJK,M205,3,3,陳曙光,管理科學系,選修,管理學院碩士在職專班-管科組
101,1,5615,IMS2350,願景領導與企業創新,22,1IJK,M104,3,3,蕭嬋,管理科學系,選修,管理學院碩士在職專班-管科組
101,1,5616,IMS5302,統計學,9999,6BCD,M301,3,3,謝國文,管理科學系,必修,管理學院碩士在職專班-管科組
101,1,5618,IMS5335,作業管理,9999,1IJK,M205,3,3,姜齊,管理科學系,必修,管理學院碩士在職專班-管科組
101,1,5619,IMS5544,行銷管理,50,4IJK,M205,3,3,張力元,管理科學系,必修,管理學院碩士在職專班-管科組
101,1,5620,IMS5652,財務報表分析,9999,5IJK,M301,3,3,蔡璧徽,管理科學系,選修,管理學院碩士在職專班-管科組
101,1,5622,IEM5225,半導體製造管理,9999,1IJK,MB506,3,3,巫木誠,工業工程與管理學系,選修,管理學院碩士在職專班-工管組
101,1,5623,IEM5231,統計方法與資料分析,45,2IJK,MB506,3,3,唐麗英,工業工程與管理學系,選修,管理學院碩士在職專班-工管組
101,1,5624,IEM5560,製造策略,9999,6BCDEFG,MB520,3,3,李榮貴,工業工程與管理學系,選修,管理學院碩士在職專班-工管組
101,1,5626,IIM5237,資料探勘研究與實務,9999,4IJK,M311,3,3,劉敦仁,資訊管理研究所,選修,管理學院碩士在職專班-資管組
101,1,5629,IIM5280,數位內容理論與應用,9999,1IJK,MB304,3,3,蔡銘箴,資訊管理研究所,選修,管理學院碩士在職專班-資管組
101,1,5631,IIM5319,系統發展與專案管理,9999,2IJK,MB312,3,3,黃興進,資訊管理研究所,選修,管理學院碩士在職專班-資管組
